Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,Pantallas,Butacas,espacio_INCAA,año_actualizacion
6035010,6,6035,,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Atlas Cine,Guemes 897,s/d,1870,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,,-3467799300,-5836723000,Localización precisa,INCAA / SInCA,Privado comercial,6,1275,,2018
6420020,6,6420,,Salas de cine,Buenos Aires,La Costa,Mar de Ajó,California,Hipolito Irigoyen 18,s/d,7112,2257,422022,exhibidoraatlantica@yahoo.com.ar,https://www.facebook.com/Cine-California-MDA-241279462590816/,,-3672659800,-5667531300,Localización precisa,INCAA / SInCA,Privado comercial,2,551,,2018
6028010,6,6028,,Salas de cine,Buenos Aires,Almirante Brown,Adrogué,Atlas Cine,Hipolito Yrigoyen 13200,s/d,1846,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,,-3480811000,-5840240000,Localización precisa,INCAA / SInCA,Privado comercial,10,2505,,2018
6301010,6,6301,,Salas de cine,Buenos Aires,General Belgrano,General Belgrano,Cine Teatro Español,Larrea 688,s/d,7223,2243,453060,cultura@belgranomun.gob.ar,https://www.facebook.com/CINE-ESPA%C3%91OL-General-Belgrano-1440074889579719/,,-3576714300,-5849599500,Localización precisa,INCAA / SInCA,Público municipal,1,378,,2018
6847020,6,6847,,Salas de cine,Buenos Aires,Tres Lomas,Tres Lomas,Cine Teatro Español,Monteverde 257,s/d,6409,2394,420855,rominaamutio@hotmail.com,https://www.facebook.com/cinetreslomas/,,-3645720700,-6286291300,Localización precisa,INCAA / SInCA,Privado comercial,1,300,si,2018
6658010,6,6658,,Salas de cine,Buenos Aires,Quilmes,Quilmes,Showcase,Olavarria 180,s/d,1878,s/d,42576006,naiarg@naiarg.com.ar,https://www.todoshowcase.com/,,-3472545900,-5825529400,Localización precisa,INCAA / SInCA,Privado comercial,8,1730,,2018
6084020,6,6084,,Salas de cine,Buenos Aires,Benito Juarez,Benito Juarez,Centro Cultural Atilio Marinelli,Otamendi Y Av. San Martin,s/d,7020,11,5313467,ccatiliomarinelli@gmail.com,https://www.facebook.com/Centro-Cultural-Atilio-Marinelli-de-Benito-Ju%C3%A1rez-1396556527284843/,,-3768266300,-5981605200,Localización precisa,INCAA / SInCA,Público municipal,1,350,,2018
6791050,6,6791,,Salas de cine,Buenos Aires,Tandil,Tandil,Cinemacenter,Panama 351,s/d,7000,2494,424251,centertandil@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-3732425800,-5911475800,Localización precisa,INCAA / SInCA,Privado comercial,4,758,,2018
6638040,6,6638,,Salas de cine,Buenos Aires,Pilar,Pilar,Village,Panamericana Ac. Norte Km 50,s/d,1629,230,4650505,village.pilar@village.com.ar,https://www.villagecines.com/,,-3445590600,-5890832900,Localización precisa,INCAA / SInCA,Privado comercial,9,2675,,2018
6756010,6,6756,,Salas de cine,Buenos Aires,San Isidro,Martínez,Hoyts,Parana 3745,s/d,1640,s/d,41188118,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,,-3450892146,-5852347061,Localización precisa,INCAA / SInCA,Privado comercial,16,3427,,2018
6868020,6,6868,,Salas de cine,Buenos Aires,Villa Gesell,Villa Gesell,Atlantic,Paseo 105 Entre 3 Y 2,s/d,7165,2255,462323,cineatlanticgesell@gmail.com,http://cineatlantic.com.ar/,,-3725143000,-5697679100,Localización precisa,INCAA / SInCA,Privado comercial,1,400,,2018
6210020,6,6210,,Salas de cine,Buenos Aires,Chacabuco,Chacabuco,Cine Teatro Español,Pueyrredon 29,s/d,6740,2352,442172,estudiodiazpalacio@gmail.com,http://cinemachacabuco.com.ar/,,-3464121400,-6047163500,Localización precisa,INCAA / SInCA,Privado comercial,1,700,,2018
6357110,6,6357,,Salas de cine,Buenos Aires,General Pueyrredon,Mar del Plata,Cinemacenter,Rivadavia 3050,s/d,7600,223,4999200,gpaai@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-3799796500,-5755201900,Localización precisa,INCAA / SInCA,Privado comercial,2,487,,2018
6511020,6,6511,,Salas de cine,Buenos Aires,Maipu,Maipú,Cine Teatro Sociedad Italiana,Rivadavia 555,s/d,7160,2268,421649,marinagole@yahoo.com.ar,https://www.facebook.com/CineTeatroSociedadItalianaMaipu,,-3686123100,-5788315200,Localización precisa,INCAA / SInCA,Privado comercial,1,450,si,2018
6427010,6,6427,,Salas de cine,Buenos Aires,La Matanza,Gonzalez Catán,Cpm Cinemas Catan Shopping,Ruta 3 Km 29 Bj Manuel De Rosas 14457,s/d,1759,s/d,49534489,cpmcinemas@gmail.com,https://cpmcines.com,,-3476103200,-5861558200,Localización precisa,INCAA / SInCA,Privado comercial,6,1114,,2018
6455030,6,6455,,Salas de cine,Buenos Aires,Las Flores,Las Flores,Cine San Martin,San Martin 593,s/d,7200,2244,462332,estre-c@hotmail.com,http://www.cinesanmartin3d.com.ar/,,-3601559900,-5909858300,Localización precisa,INCAA / SInCA,Privado comercial,1,0,,2018
6434010,6,6434,,Salas de cine,Buenos Aires,Lanus,Lanús,Zona Cines Coto Lanús,Warnes 2450,s/d,1824,11,42399300,maciro@coto.com.ar,https://www.zonacines.com.ar,,-3469019200,-5841905700,Localización precisa,INCAA / SInCA,Privado comercial,8,2037,,2018
6791050,6,6791,,Salas de cine,Buenos Aires,Tandil,Tandil,Espacio INCAA Unicen,Yrigoyen 662,s/d,7000,249,4628324,martinezmcarla@yahoo.com.ar,https://www.unicen.edu.ar/content/funciones-espacio-incaa-unicen-ahora-tambi%C3%A9n-podes-seguirnos-en-instagram,,-3732613170,-5913857720,Localización precisa,INCAA / SInCA,Público nacional,1,430,si,2018
6427010,6,6427,,Salas de cine,Buenos Aires,La Matanza,San Justo,Espacio INCAA Km 16 La Matanza,Av. Illia 2340,s/d,1754,11,35316634,"info@ccvb.org.ar
",http://www.ccvb.org.ar/cinespecioincaa.html,,-3467482400,-5856291300,Localización precisa,INCAA / SInCA,Privado independiente,1,390,SI,2018
10049030,10,10049,,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Intendente Mamerto Medina 220,s/d,4700,s/d,s/d,s/d,http://www.cinemacenter.com.ar/,,-2846473700,-6580067500,Localización precisa,INCAA / SInCA,Privado comercial,5,743,,2018
10091150,10,10091,,Salas de cine,Catamarca,Santa Maria,Santa María,Centro Cultural San Agustín,San Martin 173,s/d,4139,3838,421511,s/d,s/d,,-2669385900,-6604905800,Localización precisa,INCAA / SInCA,Privado comercial,1,440,0,2018
10049030,10,10049,,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Av. Guemes 850,s/d,4700,3833,4423040,centercatamarca@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2847586700,-6577458100,Localización precisa,INCAA / SInCA,Privado comercial,5,914,,2018
10049030,10,10049,,Salas de cine,Catamarca,Capital,Catamarca,Cine Teatro Catamarca,San Martín 555,s/d,4700,383,4439129,s/d,http://www.turismo.catamarca.gob.ar/?vh_accommodation=teatros-en-sfvc/cine-teatro-catamarca,,-2846970900,-6577888100,Localización precisa,INCAA / SInCA,Público municipal,1,1103,si,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Los Cines De La Costa,Av. Sarmiento 2600,s/d,3500,3794,472200,administracion@loscinesdelacosta.com.ar,http://resistencia.loscinesdelacosta.com.ar/,,-2743099500,-5896267200,Localización precisa,INCAA / SInCA,Privado comercial,5,820,,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Espacio Incaa Guido Miranda,Colón 164,s/d,3500,3624,4810748,lagomecita@hotmail.com,http://www.ecomchaco.com.ar/guidomiranda/default.htm,,-2745563940,-5898448010,Localización precisa,INCAA / SInCA,Público provincial,1,167,si,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter,Av. Lavalle 826,s/d,3500,3624,415999,centeravalos@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2743821400,-5898703800,Localización precisa,INCAA / SInCA,Privado comercial,5,792,,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter,Av. Dr. Sabin Y Av. Nicolas Avellaneda,s/d,3500,3722,446554,centerresistencia@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2743874700,-5898728500,Localización precisa,INCAA / SInCA,Privado comercial,3,690,,2018
26091020,26,26091,,Salas de cine,Chubut,Sarmiento,Sarmiento,Deborah Jones De Williams,Reg. Inf. Mec. 25 Esquina 20 De Junio,s/d,9020,297,4897169,culturasarmiento@hotmail.com,http://www.culturachubut.gob.ar/…/convo-evita-culturales.ht…,,-4559437400,-6906959400,Localización precisa,INCAA / SInCA,Público municipal,1,80,,2018
26007020,26,26007,,Salas de cine,Chubut,Biedma,Puerto Madryn,Cine Teatro Auditorium,28 De julio 0129,s/d,9120,2804,455653,auditorium@madryn.com,http://www.cinemadryn.com/,,-4276625100,-6503536900,Localización precisa,INCAA / SInCA,Privado comercial,2,486,,2018
26035060,26,26035,,Salas de cine,Chubut,Futaleufu,Trevelin,Espacio INCAA Trevelin,28 De julio 0414,s/d,9203,2945,480145,culturatrevelin@gmail.com,https://cines.com/argentina/espacio-incaa-trevelin/,,-4307951600,-7146313500,Localización precisa,INCAA / SInCA,Público municipal,1,150,si,2018
26077040,26,26077,,Salas de cine,Chubut,Rawson,Trelew,Espacio INCAA Km 1460,9 De julio 0655,s/d,9100,280,4969388,donato.enrique@hotmail.com,https://www.facebook.com/pg/Sala-Incaa-Km-1460-Trelew-197525007014521/about/?ref=page_internal,,-4325346100,-6531623100,Localización precisa,INCAA / SInCA,Público municipal,1,100,si,2018
26035030,26,26035,,Salas de cine,Chubut,Futaleufu,Esquel,Auditorio Municipal De Esquel,Belgrano 330,s/d,9200,11,5081526,coordinacioncultura@yahoo.com.ar,https://www.facebook.com/CulturaEsquel/,,-4291433200,-7133242000,Localización precisa,INCAA / SInCA,Público municipal,1,243,,2018
26077040,26,26077,,Salas de cine,Chubut,Rawson,Trelew,Coliseo,Belgrano 375,Piso 1,9100,2804,425300,delcoliseosa@speedy.com.ar,https://www.facebook.com/Cine-Coliseo-Trelew-262482040443290/,,-4325278400,-6530766700,Localización precisa,INCAA / SInCA,Privado comercial,1,380,,2018
26077030,26,26077,,Salas de cine,Chubut,Rawson,Rawson,Centro Cultural José Hernández,Dr. Jorge Galina S/N,s/d,9103,2804,485564,cinerawsonchubut2014@gmail.com,https://www.facebook.com/media/set/?set=a.910604218955417.1073743674...type...,,-4329985800,-6509948700,Localización precisa,INCAA / SInCA,Privado comercial,1,400,si,2018
26021030,26,26021,,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Coliseo,San Martin 570,s/d,9000,297,6210242,cinecr@speedy.com.ar,https://www.cinesargentinos.com.ar/horarios/c:511:coliseo-comodoro-rivadavia-/,,-4586105700,-6748258100,Localización precisa,INCAA / SInCA,Privado comercial,1,380,,2018
26021030,26,26021,,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Teatro Español,San Martin 668,s/d,9000,297,6245762,cinecr@speedy.com.ar,http://www.cinecr.com.ar,,-4586107100,-6748407200,Localización precisa,INCAA / SInCA,Privado comercial,1,463,si,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Rector Ricardo Rojas,Av. Corrientes 2038,s/d,1045,s/d,49535405,gabriel.guralnik@gmail.com,http://www.rojas.uba.ar/,,-3460468200,-5839595400,Localización precisa,INCAA / SInCA,Público nacional,2,250,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Av. Del Libertador 750,s/d,1001,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,,-3458809500,-5838348500,Localización precisa,INCAA / SInCA,Privado comercial,3,585,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,s/d,1425,s/d,48034062,fwhite@aamnba.org.ar,https://www.facebook.com/pg/amigosdelbellasartes/about/?ref=page_internal,,-3458351100,-5839268600,Localización precisa,INCAA / SInCA,Privado independiente,1,235,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Gran Rivadavia,Av. Rivadavia 8636,s/d,1407,s/d,46741300,paula@granrivadavia.com.ar,http://www.granrivadavia.com.ar/inicio/,,-3463481900,-5848535900,Localización precisa,INCAA / SInCA,Privado comercial,1,1494,si,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Jeronimo Salguero 3172,s/d,1425,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,,-3457538500,-5840399700,Localización precisa,INCAA / SInCA,Privado comercial,3,432,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts,Melian 4880,s/d,1430,s/d,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,,-3454634400,-5848843500,Localización precisa,INCAA / SInCA,Privado comercial,10,1918,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinain,Moreno 1199,s/d,1091,s/d,43836432,fernandomadedo@cinain.gob.ar,http://cinain.gob.ar/,,-3461199700,-5838319400,Localización precisa,INCAA / SInCA,Público nacional,2,212,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema Devoto,Quevedo 3365,s/d,1417,s/d,40196019,mlopez@cinemadevoto.com.ar,https://cinemadevoto.com.ar/,,-3461165800,-5851692800,Localización precisa,INCAA / SInCA,Privado comercial,8,1908,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Borges,Viamonte 525,Piso 3,1005,s/d,55555358,dpetchersky@yahoo.com.ar,https://www.ccborges.org.ar/,,-3459972400,-5837455900,Localización precisa,INCAA / SInCA,Privado comercial,1,160,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinemark,Av. Alicia M De Justo 1920,s/d,1107,s/d,57771000,iventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar,,-3462218600,-5836528800,Localización precisa,INCAA / SInCA,Privado comercial,8,1379,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema,Av. Cabildo 2702,s/d,1428,s/d,47890232,fharari@hotmail.com.ar,http://www.cinemacity.com.ar/,,-3455688600,-5846125900,Localización precisa,INCAA / SInCA,Privado comercial,6,1576,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Multiplex,Av. Cabildo 2829,s/d,1428,s/d,47816500,viourno@cinesmultiplex.com.ar.,https://www.multiplex.com.ar/,,-3455597000,-5846170500,Localización precisa,INCAA / SInCA,Privado comercial,5,792,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Alianza Francesa,Av. Cordoba 946,s/d,1054,s/d,43220068,francisco.armendariz@alianzafrancesa.org.ar,https://www.alianzafrancesa.org.ar/cultura/cine,,-3459901700,-5838040300,Localización precisa,INCAA / SInCA,Privado independiente,1,178,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bama Cine,Av. Corrientes 1145,s/d,1145,11,44136283,guillermo@bamacine.com,http://www.bamacine.com/,,-3460332600,-5838274500,Localización precisa,INCAA / SInCA,Privado comercial,3,343,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Lorca,Av. Corrientes 1428,s/d,1042,s/d,43715017,lorcacine@gmail.com,http://cinelorca.wixsite.com/cine-lorca,,-3460409100,-5838682000,Localización precisa,INCAA / SInCA,Privado comercial,2,452,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Sala Leopoldo Lugones,Av. Corrientes 1530,s/d,1042,s/d,43710111,acardoso@complejoteatral.gob.ar,https://complejoteatral.gob.ar/cine,,-3460425800,-5838839200,Localización precisa,INCAA / SInCA,Público municipal,1,212,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Sala Raúl González Tuñón,Av. Corrientes 1543,s/d,1042,s/d,50778000,directorartistico@entrocultural.coop,http://www.centrocultural.coop/,,-3460405100,-5838853600,Localización precisa,INCAA / SInCA,Privado independiente,1,94,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Cosmos,Av. Corrientes 2046,s/d,1045,s/d,49535405,gabriel.guralnik@gmail.com,https://www.facebook.com/pg/cinecosmos.uba/about/?ref=page_internal,,-3460462900,-5839619800,Localización precisa,INCAA / SInCA,Público nacional,2,190,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts,Av. Corrientes 3247,s/d,1193,s/d,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,,-3460348500,-5841085300,Localización precisa,INCAA / SInCA,Privado comercial,12,3021,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Malba,Av. Figuero Alcorta 3415,Planta Baja,1425,11,48086500,recepcion@malba.org.ar,http://www.malba.org.ar/eventos/de/actividades-cine-programacion/,,-3457727300,-5840374700,Localización precisa,INCAA / SInCA,Privado comercial,1,224,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinemark,Av. La Plata 96,s/d,1184,s/d,57771000,iventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar,,-3461612800,-5842899900,Localización precisa,INCAA / SInCA,Privado comercial,6,898,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gaumont CineAR,Av. Rivadavia 1635,s/d,1033,s/d,43815754,guadalupe.veiga@incaa.gov.ar,http://www.incaa.gov.ar/sin-categoria/cartelera-cine-gaumont,,-3460898000,-5838964000,Localización precisa,INCAA / SInCA,Público nacional,3,1167,si,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Village,Av. Rivadavia 5071,s/d,1424,s/d,51686868,village.caballito@village.com.ar,https://www.villagecines.com/,,-3461858100,-5843736700,Localización precisa,INCAA / SInCA,Privado comercial,9,1769,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinemark,Beruti 3399,s/d,1425,s/d,57771000,iventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar,,-3458656500,-5841042100,Localización precisa,INCAA / SInCA,Privado comercial,10,1738,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Microcine Centro Cultural Recoleta,Junin 1930,s/d,1113,s/d,48031040,evitamaggi@buenosaires.gob.ar,http://www.centroculturalrecoleta.org/,,-3458675300,-5839167200,Localización precisa,INCAA / SInCA,Público municipal,1,100,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Sisco Box,Laprida 1423,s/d,1425,11,41430660,natipereiradarre@gmail.com,s/d,,-3459243500,-5840584700,Localización precisa,INCAA / SInCA,Privado comercial,2,40,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Multiplex Lavalle,Lavalle 780,s/d,1047,s/d,43261596,asomma@cinesmultiplex.com.ar,https://www.multiplex.com.ar/,,-3460235800,-5837780100,Localización precisa,INCAA / SInCA,Privado comercial,7,1270,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Showcase,Monroe 1655,s/d,1428,s/d,47883322,rfarias@naiarg.com.ar,https://www.todoshowcase.com/,,-3455387800,-5845286800,Localización precisa,INCAA / SInCA,Privado comercial,10,2082,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema Del Parque,Nazarre 3135,s/d,1417,s/d,45030200,ibuttironi@cpmcines.com,https://cpmcines.com/home,,-3460174900,-5849486600,Localización precisa,INCAA / SInCA,Privado comercial,2,277,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,A.M.I.A.,Pasteur 633,s/d,1028,s/d,49598800,amia@amia.org.ar,https://cultura.amia.org.ar,,-3460185700,-5839975700,Localización precisa,INCAA / SInCA,Privado comunitario,1,237,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Rivera Indarte 44,s/d,1406,s/d,43135050,info@atlascines.com.ar,cineatlasweb.com.ar,,-3462936800,-5846252300,Localización precisa,INCAA / SInCA,Privado comercial,5,1263,si,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Edén,Santa Fe 1825,s/d,1123,s/d,43283150,jse13310@gmail.com,s/d,,-3459583200,-5839365500,Localización precisa,INCAA / SInCA,Privado comercial,1,30,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Ideal Solo Adultos,Suipacha 378,s/d,1008,s/d,43263300,s/d,s/d,,-3460382200,-5837951000,Localización precisa,INCAA / SInCA,Privado comercial,5,770,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Village,Vicente Lopez 2050,s/d,1128,s/d,51280828,village.recoleta@village.com.ar,https://www.villagecines.com/,,-3458922000,-5839297600,Localización precisa,INCAA / SInCA,Privado comercial,10,1776,,2018
2000010,2,2000,,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Multiplex,Vuelta De Obligado 2199,s/d,1428,s/d,47818187,gfeldman@cinesmultiplex.com,https://www.multiplex.com.ar/,,-3456050300,-5845649900,Localización precisa,INCAA / SInCA,Privado comercial,8,2314,,2018
14182060,14,14182,,Salas de cine,Córdoba,Union,Bell Ville,Sudcinemas,Mitre 61,s/d,5900,353,422337,sudcinemas@arnetbiz.com.ar,http://sudcinemas.com.ar/cine-wp/cine/bellville/,,-3263018200,-6268662800,Localización precisa,INCAA / SInCA,Privado comercial,2,324,,2018
14014010,14,14014,,Salas de cine,Córdoba,Capital,Córdoba,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,s/d,5014,3515,261500,s/d,https://www.cinesdinomall.com.ar/,,-3145539200,-6413979900,Localización precisa,INCAA / SInCA,Privado comercial,2,307,,2018
14098110,14,14098,,Salas de cine,Córdoba,Rio Cuarto,Elena,Cine Teatro Coop Luz Y Fuerza,Mitre 31,s/d,5815,358,4881249,rboatti@coopluzelena.com.ar,"https://www.facebook.com › Places › Elena, Cordoba, Argentina › Movie Theater",,-3257161200,-6439332900,Localización precisa,INCAA / SInCA,Privado comercial,1,279,,2018
14161110,14,14161,,Salas de cine,Córdoba,Tercero Arriba,Oliva,Cine Cooperativo,Colon 301,s/d,5980,3532,410000,administracion@coop-oliva.com.ar / sofia santolin@coop-oliva,http://coop-oliva.com.ar/,,-3203940300,-6357042500,Localización precisa,INCAA / SInCA,Privado comunitario,1,200,,2018
14098230,14,14098,,Salas de cine,Córdoba,Rio Cuarto,Río Cuarto,Cines Del Paseo,Av. Mugnaini Y Sobremonte,s/d,5800,358,4621235,riocuarto@cinesdelpaseo.com.ar,http://cba.gov.ar,,-3311805300,-6434656900,Localización precisa,INCAA / SInCA,Privado comercial,4,955,,2018
14098230,14,14098,,Salas de cine,Córdoba,Rio Cuarto,Río Cuarto,Centro Cultural Leonardo Favio,Buenos Aires 55,s/d,5800,358,4676836,gamolayoli@hotmail.com,http://www.cba.gov.ar/,,-3312430600,-6434916600,Localización precisa,INCAA / SInCA,Público provincial,1,219,,2018
14021250,14,14021,,Salas de cine,Córdoba,Colon,Salsipuedes,Dinosaurio Mall,Av. Sarmiento 1007,s/d,5113,3515,261500,cluduena@grupodinosaurio.com,http://www.cinesdinomall.com.ar,,-3112682800,-6429602300,Localización precisa,INCAA / SInCA,Privado comercial,2,322,,2018
14014010,14,14014,,Salas de cine,Córdoba,Capital,Villa Rivera Indarte,Sunstar,Ricardo Rojas 9200,s/d,5008,3543,446300,gerente.cordoba@cinesunstar.com,http://www.cinesunstar.com/,,-3133576500,-6428974600,Localización precisa,INCAA / SInCA,Privado comercial,6,1398,,2018
14140030,14,14140,,Salas de cine,Córdoba,San Justo,Arroyito,Cinema 2000,Belgrano Esq. Rafael Nuñez,s/d,2434,3576,422515,marcelatorressi@cescom.net.ar,https://www.facebook.com/pg/Cinema.2000.Arroyito.3D/about/?ref=page_internal,,-3141540900,-6305054100,Localización precisa,INCAA / SInCA,Privado comercial,1,207,,2018
14182080,14,14182,,Salas de cine,Córdoba,Union,Canals,Guillermo J. Nolter,Moreno Y Sarmiento,s/d,2650,3463,420041,coopcanals@canalsnet.com.ar,https://www.cinecoop3d.com/elcine.php,,-3356197400,-6288159200,Localización precisa,INCAA / SInCA,Privado comercial,1,200,,2018
